,chemicalFormula,references,Crystallinity,Electrical conductivity,Electrical conductivity-conditions,Electrical conductivity-dataType,Electrical conductivity-units,Electrical resistivity,Electrical resistivity-conditions,Electrical resistivity-dataType,Electrical resistivity-units,Power factor,Power factor-conditions,Power factor-dataType,Power factor-units,Preparation method,Seebeck coefficient,Seebeck coefficient-conditions,Seebeck coefficient-dataType,Seebeck coefficient-units,Space group,Thermal conductivity,Thermal conductivity-conditions,Thermal conductivity-dataType,Thermal conductivity-units,Thermoelectric figure of merit (zT),Thermoelectric figure of merit (zT)-conditions,Thermoelectric figure of merit (zT)-dataType
458,ZrNi0.76Co0.004Cu0.2Sn,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/j.jallcom.2004.02.061', 'doi': '10.1016/j.jallcom.2004.02.061'}]}]",Polycrystalline,1.4388E+02,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,6.95E-03,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,2.4317E-04,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Arc melted, Ar",-130,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,216,5.3,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.018352111,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL
459,CaYb0.4Mn0.6O3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1109/ICT.2006.331291', 'doi': '10.1109/ICT.2006.331291'}]}]",Polycrystalline,8.2773E+01,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.0120812,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,3.3202E-06,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,-20.028,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,62,,,,,,,
460,Ca3Co4O9,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/S0038-1098(02)00555-0', 'doi': '10.1016/S0038-1098(02)00555-0'}]}]",Polycrystalline,2.1803E+01,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.045864406,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,5.4778E-06,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Sol-gel, air",50.1234,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,12,,,,,,,
461,In0.25Co4Sb12,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1021/cm052055b', 'doi': '10.1021/cm052055b'}]}]",Polycrystalline,8.7760E+02,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00113947,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,4.1366E-03,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,-217.11,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,204,2.55853,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.485042171,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL
462,Ba8Ga16Ge30,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1103/PhysRevB.77.075203', 'doi': '10.1103/PhysRevB.77.075203'}]}]",Single crystal,1.3158E+03,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00076,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,4.1234E-04,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Czochralski method, He",-55.98,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,223,1.63,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.101186968,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL
463,SrNb0.15Ti0.85O3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/j.jallcom.2010.06.195', 'doi': '10.1016/j.jallcom.2010.06.195'}]}]",Polycrystalline,1.9932E-01,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,5.017057997,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,3.1155E-08,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, Ar",-39.5353,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,221,5.88,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,1.58952E-06,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL
464,YBiRu2O7,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/S0038-1098(03)00080-2', 'doi': '10.1016/S0038-1098(03)00080-2'}]}]",Polycrystalline,5.0228E+02,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.0019954,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.1951E-05,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,15.44,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,227,,,,,,,
465,Zr0.94Y0.06NiSn0.96Sb0.04,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/j.jallcom.2006.02.075', 'doi': '10.1016/j.jallcom.2006.02.075'}]}]",Polycrystalline,1.2690E+03,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,7.88E-04,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.5077E-03,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Arc melted, Ar",-109,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,216,6.51,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.092641543,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL
466,Zn0.99Al0.01O,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1039/A602506D', 'doi': '10.1039/A602506D'}]}]",Polycrystalline,3.1190E+02,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.002754229,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.1615E-03,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, air",-178.859,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,186,44.495,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.00783126,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL
467,La0.8Sr0.2CoO3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/j.jssc.2008.08.078', 'doi': '10.1016/j.jssc.2008.08.078'}]}]",Polycrystalline,2.1380E+03,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.000467735,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,9.7179E-05,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,21.32,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,15,3.69579,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.00788839,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL
468,NiO,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1143/JJAP.38.L1336', 'doi': '10.1143/JJAP.38.L1336'}]}]",Polycrystalline,6.5390E-03,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,152.9285824,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.5285E-07,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,483.47,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,225,,,,,,,
469,CaGd0.98Mn0.02O3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1111/j.1551-2916.2010.03673.x', 'doi': '10.1111/j.1551-2916.2010.03673.x'}]}]",Polycrystalline,3.6310E+01,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.027541002,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.6844E-04,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Co-precipitation,-215.39,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,62,,,,,,,
470,SrNd0.17Ti0.83O3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1007/978-3-540-88201-5_24', 'doi': '10.1007/978-3-540-88201-5_24'}]}]",Polycrystalline,2.3900E+02,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.0041841,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,4.8056E-04,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, air",-141.8,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,221,3.397,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.141466893,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL
471,CuCr0.95Mg0.05O2,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1109/ICT.2006.331288', 'doi': '10.1109/ICT.2006.331288'}]}]",Polycrystalline,2.4591E+01,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.0406648,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.9501E-04,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, air",281.605,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,166,8.0871,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.0168798,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL
472,CeFe4Sb12,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://www.jstor.org/stable/2889796'}]}]",Polycrystalline,9.4658E+02,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00105643,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,7.1684E-04,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Melted, vacuum",87.0227,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,204,,,,,,,
473,SrNd0.2Ti0.8O3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1007/978-3-540-88201-5_24', 'doi': '10.1007/978-3-540-88201-5_24'}]}]",Polycrystalline,2.5300E+02,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.003952569,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,4.9588E-04,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, air",-140,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,221,3.1968,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.155117618,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL
474,CaMnO3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1109/ICT.2006.331291', 'doi': '10.1109/ICT.2006.331291'}]}]",Polycrystalline,9.6994E+00,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.103099,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.2733E-04,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,-362.325,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,62,2.15813,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.041301192,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL
475,Ba8Ga16Ge30,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1109/ICT.2002.1190269', 'doi': '10.1109/ICT.2002.1190269'}]}]",Polycrystalline,1.6000E+02,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00625,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.3363E-03,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Arc melting,289.00,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,223,2,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.668168,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL
476,CuRh0.9Mg0.1O2,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1103/PhysRevB.80.115103', 'doi': '10.1103/PhysRevB.80.115103'}]}]",Polycrystalline,6.0976E+02,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00164,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,6.0610E-04,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, air",99.70,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,166,,,,,,,
477,CeFe2Co2Sb12,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1109/ICT.1996.553263', 'doi': '10.1109/ICT.1996.553263'}]}]",Polycrystalline,3.0769E+02,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,3.25E-03,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,8.4788E-04,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Combination of melting and powder metallurgy techniques,166,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,204,,,,,,,
478,Na0.02Pb0.98Te0.85Se0.15,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1038/nature09996', 'doi': '10.1038/nature09996'}]}]",Polycrystalline,2.4200E+03,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.000413223,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,6.2827E-04,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Melted,50.95,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,225,3.01429,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.062528934,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL
479,Mg2Si0.9985Bi0.0015,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1039/C1JM10827A', 'doi': '10.1039/C1JM10827A'}]}]",Polycrystalline,1.1086E+03,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.000902,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,2.4613E-03,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Mechanochemical, Ar",-149.00,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,225,5.07,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.194186052,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL
480,SrNd0.17Ti0.83O3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1007/978-3-540-88201-5_24', 'doi': '10.1007/978-3-540-88201-5_24'}]}]",Polycrystalline,5.1900E+02,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.001926782,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,9.2426E-05,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, air",-42.2,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,221,5.35,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.006910325,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL
481,Bi86Sb14,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/j.jpcs.2004.01.010', 'doi': '10.1016/j.jpcs.2004.01.010'}]}]",Polycrystalline,3.4175E+03,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.000292608,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.6319E-03,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Melted, vacuum",-6.91E+01,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,166,,,,,,,
482,SrTi0.8Nb0.2O3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1063/1.3117943', 'doi': '10.1063/1.3117943'}]}]",Polycrystalline,3.9000E+02,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.002564103,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.0605E-03,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, Ar",-164.9,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,140,3.14,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.337735156,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL
483,Zr0.98Nb0.02NiSn,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/j.jallcom.2008.02.041', 'doi': '10.1016/j.jallcom.2008.02.041'}]}]",Polycrystalline,1.1442E+03,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00087395,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,4.2923E-03,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Arc-melted, vacuum",-193.681,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,216,6.4517,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.465705367,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL
484,Zn0.97Al0.03O,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1007/s11664-009-0815-2', 'doi': '10.1007/s11664-009-0815-2'}]}]",Polycrystalline,4.6740E+01,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.0213949,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,9.8090E-05,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, vacuum",-144.866,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,186,,,,,,,
485,Ca2.85Na0.15AlSb3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1039/c0ee00517g', 'doi': '10.1039/c0ee00517g'}]}]",Polycrystalline,8.0000E+01,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.0125,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,4.7239E-04,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, Ar",243.00,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,62,0.68,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.694694118,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL
